DscComponenteTarifarioTraduzido,media,mediana,desvio_padrao,min,max,n_registros,zeros,unidade
Tarifa de Uso do Sistema de Distribuição,"8,42","5,21","9,25",0,"37,06",8.695,1.876,KW
TUSD - Custos de Distribuição,"4,44","1,35","6,02",0,"24,31",8.650,3.338,KW
TUSD - Rede Básica,"0,51","0,03","0,72",0,"3,24",8.119,3.639,KW
TUSD - Fator de Rateio,"0,19","0,00","0,27",0,"1,08",8.471,4.336,KW
TUSD - Contratação da Transmissão,"0,07","0,00","0,11",0,"0,44",8.536,4.376,KW
TUSD - Pesquisa e Desenvolvimento,"0,04","0,00","0,07",0,"0,27",8.461,5.596,KW
TUSD - Perdas Técnicas,"0,04","0,00","0,13",0,"0,71",7.470,6.748,KW
TUSD - Taxa de Fiscalização,"0,01","0,00","0,02",0,"0,07",8.271,5.916,KW
TUSD - Custo do Uso,"0,00","0,00","0,01",0,"0,07",7.326,6.654,KW
TUSD - Operador Nacional do Sistema,"0,00","0,00","0,00",0,"0,00",8.498,6.970,KW
TE - Custo de Geração,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE - Encargos do Serviço,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE - Perdas na Rede Básica,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE - Pesquisa e Desenvolvimento,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE - Transmissão de Itaipu,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE - Transporte de Itaipu,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE BENEFICIO_L14299,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_CDE_COVID,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_CDE_ELET,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_CDE_GD,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_CFURH,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_Liminar,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_SUBSIDIO,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TE_TUST_CI,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD - Conta de Desenvolvimento Energético,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD - Programa de Incentivo às Fontes Alternativas,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD BENEFICIO_L14299,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSDG_ONS,"0,00","0,00","0,00",0,"0,00",8.594,8.594,KW
TUSDG_T,"0,00","0,00","0,00",0,"0,00",9.182,9.182,KW
TUSD_CCC,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD_CCD,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD_CDE_COVID,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD_Liminar,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD_OUTROS,"0,00","0,00","0,00",0,"0,00",7.635,7.635,KW
TUSD_PNT,"0,00","0,00","0,00",0,"0,00",7.198,7.198,KW
TUSD_Per_RB_D,"0,00","0,00","0,00",0,"0,00",7.134,7.134,KW
TUSD_RGR,"0,00","0,00","0,00",0,"0,00",7.508,7.508,KW
TUSD_RI,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
TUSD_SUBSIDIO,"0,00","0,00","0,00",0,"0,00",6.593,6.593,KW
Tarifa de Energia,"0,00","0,00","0,00",0,"0,00",9.324,9.324,KW
